,target,output,question
42,bathroom,"I was the first time I'ms
 and I'ms
 the first time",What is west of the hallway?
43,hallway,"I
 I
 the",What is north of the kitchen?
44,bathroom,"I
I
 Ruth
  to
 to
    to
    Ruth
    Ruth",What is the hallway north of?
45,office,"I
I
 I
I
I
I
I
I
 I
 I",What is the bedroom south of?
46,kitchen,"The garden, versa,'d he was the
The, the
The, Ã�
The",What is west of the office?
47,bedroom,"I
 She was a I have a woman..swinging a beautiful
 I have I
 She",What is south of the office?
48,office,"It was the
The sun, and the the the the the
It was the first time,",What is the kitchen east of?
49,hallway,"I have a the other than the
the
the
the first
 the
the
He",What is south of the bathroom?
50,hallway,"The
 the same as the Parliament. the that the
 We the county the county the",What is east of the bathroom?
51,bathroom,"He was the
the right
He was the first..swinging the first..swinging the",What is the office south of?
52,office,"He
The
The
The
He
He
He was the
The
He was",What is the hallway east of?
53,kitchen,The first and the “on the “that he is the “to the “The author,What is the bedroom south of?
54,kitchen,"The bird the the the
.swinging the
.swinging the the the the
.swinging the",What is the hallway west of?
55,bathroom,"He was
.swinging the first and he was the same him him, and he said the man",What is the bedroom east of?
56,bedroom,"I the patient, and the patient to get the patient the same to curent the patient the patient",What is the kitchen south of?
57,office,"I am I am I am I am I am I am I have you
 Mr. the woman",What is the kitchen west of?
58,kitchen,"It was the
 to the
 was it was it was the
the
the the",What is the hallway south of?
59,office,"We you’re you’re you Jimmie the people Jimmie. the question the
  Jimmie",What is the bedroom east of?
60,bathroom,"I was she was she was she was the question the
.swinging the question the question the",What is east of the kitchen?
61,kitchen,"She was she was she was she was she to the
 She was she was she was she was",What is the bathroom south of?
62,bedroom,"I have the first to the ""the one that is a man to be the ""the ""that",What is the kitchen north of?
63,kitchen,"I
She was she was she was the
She was
 She was
 She was she was",What is the garden east of?
64,kitchen,"The man, the place, the
The first, the place, the first, the place,",What is south of the hallway?
65,kitchen,"The 'It was to 'It was 'It was 'The 'The the
The 'to",What is the garden east of?
66,hallway,"He was Mr.the first, the
 He was to Mr. the
 He was to Mr",What is north of the garden?
67,garden,"The girl, the girl,the first
the best to the
 She was she was she was",What is the bedroom south of?
68,garden,"I
I
I
I
I
I
I
I the
I am",What is the hallway south of?
69,office,"I
the
her
 Mr. I
 Mrs. I was she was she was she was",What is west of the kitchen?
70,bedroom,"The same the same time the same time to the British, the
 The
 The British the British",What is east of the office?
71,hallway,"I
 She to her, she had she was to say she was to her to her, and",What is south of the kitchen?
72,bedroom,"I'my
I'my that I'my
I'my it's her it's",What is east of the garden?
73,bedroom,,What is west of the kitchen?
74,kitchen,".swinging their own
    they're the
    And the house, the house
    house",What is the office west of?
75,bathroom,He was she was she was she was she was she was it was the one the one the one,What is the bedroom west of?
76,office,"He was she would be she was she was to get her father,.swinging the
 the first",What is the bathroom south of?
77,hallway,"The
 the
 the same time
 C
 the
 to which is
 The
 the",What is north of the garden?
78,bathroom,"The same to the
the same time that the same the
 The same time to the
the",What is west of the bedroom?
79,kitchen,".swing
.swing the.swing the.swinging://://://://://://://://://://://://",What is the bedroom north of?
80,bedroom,"I have you
the
I am I have you're you to be you
the
You",What is the kitchen east of?
81,garden,I was I believe the next day after the man the man the whole the man. versa the whole,What is the bathroom east of?
82,hallway,"I
 We'll we to the
 John, and
 We're you're you
 The first",What is the garden west of?
83,kitchen,"the ""to the the the the versa..swinging.swinging the versa.://.swinging.swing",What is the office north of?
84,bedroom,"He was the other one
 The boy and the boy and the other one the other one the next",What is east of the bathroom?
85,kitchen,"I
her to her, Ruby, and I’m not
I
that she is",What is the garden east of?
86,kitchen,"I'm the girl, where I
I'more the first. the first time to the first",What is the hallway west of?
87,bathroom,"I the first. the the the the the the first
the the first?
I have a man",What is east of the garden?
88,hallway,"It is
 The suns the
 the sun,.swinging the the the the the",What is the office north of?
89,bathroom,He was he had he was he was he was the little him. the little him. versa the,What is east of the office?
90,bathroom,"He
that she had to whom the first
should have to the
the
had he had",What is north of the garden?
91,hallway,"He was she was she was he was a his
he was he had he had he had he",What is east of the bedroom?
92,kitchen,"She was the
the
 the
 the
 the
.swinging the
the
the house",What is south of the hallway?
93,hallway,"I have I the
 You. the yous you're you're you're you, and the",What is north of the garden?
94,kitchen,"I am I am I have I have you
 And yous
And yous the one of",What is the bathroom west of?
95,bathroom,"I the t the first the first
I
Then I the
But I the least the least",What is the garden north of?
96,bathroom,The the city the city the one the same the town the town the first the town the town the,What is south of the bedroom?
97,bathroom,"The
 the
The
The
The
The same
The
The word the
The",What is west of the bedroom?
98,bedroom,"The one of the the the the
 the the the
.swinging the suns.swinging the",What is the hallway south of?
99,kitchen,It was it was it was it he was it was the same the man and the man and the,What is north of the bedroom?
