,target,output,question
41,garden,.. I. I...............,What is west of the office?
42,bathroom,".
 The. I. We. I. I. I. We. We. We. We",What is west of the hallway?
43,hallway,"I. I. I.... I. I......
. I",What is north of the kitchen?
44,bathroom,"..swing..swing. the..swing and.swing..
..swing..swing. trying..swing",What is the hallway north of?
45,office,"..
.
.
.
. versa.
.
.
 versa..swing and. the....",What is the bedroom south of?
46,kitchen,"... the. versa.. The,,,.swing..
. The,..",What is west of the office?
47,bedroom,.swing.://://://://://://://://://://://://://://://://://://,What is south of the office?
48,office,"........ and.,..,.,.,..",What is the kitchen east of?
49,hallway,"and.
.swing.
.swing.://.swing.
.swing.
.swing.
.swing.
.swing.
.swing.
.swing",What is south of the bathroom?
50,hallway,",. The. "". I. "".. I. The.,.,. The",What is east of the bathroom?
51,bathroom,".,..
..
..,,,.,..
..
..
.",What is the office south of?
52,office,"..
.. The.
..
..
...
.
.
..
...",What is the hallway east of?
53,kitchen,"of the..
 the...............",What is the bedroom south of?
54,kitchen,".. The..,.,. The,. The...
,. and.",What is the hallway west of?
55,bathroom,". I. I. I. I. I. I.
. I.
.
. I.",What is the bedroom east of?
56,bedroom,".
.
.
.
.
.
.
.
.
.
.
.
..
.
.
.
. I.",What is the kitchen south of?
57,office,. The. The. The. The. The. The. The.. The. The.,What is the kitchen west of?
58,kitchen,".
...... to for. for...,.,.,.",What is the hallway south of?
59,office,The..swing..swing..swing..swing. trying..swing..swing..swing. trying.,What is the bedroom east of?
60,bathroom,",....
...,....
...
.. I.",What is east of the kitchen?
61,kitchen,"of a...
.
. versa,..swing, and..
...
. versa",What is the bathroom south of?
62,bedroom,",,,,,.
 with with..
.
.,,.,.,.,",What is the kitchen north of?
63,kitchen,". The. The. The..
. The. The. The. The. The. The",What is the garden east of?
64,kitchen,..swing..swing. versa. versa. The.. The. the. versa. the.,What is south of the hallway?
65,kitchen,for for for for................,What is the garden east of?
66,hallway,". versa..swing..
....swing. versa...
. I.. I",What is north of the garden?
67,garden,".
 I.",What is the bedroom south of?
68,garden,of the and and and of the and of the and and and and and and and of the and,What is the hallway south of?
69,office,"..swing..
..
..
..
..
..
..
.
.
..",What is west of the kitchen?
70,bedroom,"and.. The..swing. the..
 the..
 the. the.. the.",What is east of the office?
71,hallway,".
.
.
.
.
..
.
.
.
..
.
..
.
.
.
.
.",What is south of the kitchen?
72,bedroom,"and.. The and. The. The. The. The.,. The. The.",What is east of the garden?
73,bedroom,"...
.................",What is west of the kitchen?
74,kitchen,".
.
.
.:// versa.
 the.
.
.
.
.
.
.
.
.
..swing.",What is the office west of?
75,bathroom,"..,......,.,...
..
.
,",What is the bedroom west of?
76,office,".
..
..
..
..
..
..
..
..
..
.",What is the bathroom south of?
77,hallway,"...
. in the,. is. is....
.. is. is",What is north of the garden?
78,bathroom,".
..
.
.
.
.
..
 the..
.
.. the. the..",What is west of the bedroom?
79,kitchen,",. and.,........,., and, and,",What is the bedroom north of?
80,bedroom,"to the, the.
 versa.
 The.
.
.
.
.
.
.
.
.
.
.
.",What is the kitchen east of?
81,garden,". I. I. I. I. “. I. I. I..
. I",What is the bathroom east of?
82,hallway,".
.swing.
.
.
.
.swing, and..swing..swing..swing..swing..swing.",What is the garden west of?
83,kitchen,". The. The. The. The. The. The. The.
. The. The",What is the office north of?
84,bedroom,"....,.,.....
...
.. in..",What is east of the bathroom?
85,kitchen,"..
 is. is.. versa... I...
..swing, I,",What is the garden east of?
86,kitchen,You. We. We. We. We. We. We. We. We. We.,What is the hallway west of?
87,bathroom,". I... I. I..
. I..
..
. I. I",What is east of the garden?
88,hallway,................ versa..swing.,What is the office north of?
89,bathroom,".
.
.
..swing.
.
.
.
 the the.
.swing and the.
.
.
.
.",What is east of the office?
90,bathroom,"..swing, and. the..swing,.swing, and. versa..
.
...swing",What is north of the garden?
91,hallway,"and..swing the..swing the..
..
 the..swing and the,.
 the,",What is east of the bedroom?
92,kitchen,". versa..
.
.
.
.
.
.
.
.
.
.
.
.
.swing and.
.swing",What is south of the hallway?
93,hallway,"of. of. of......
. in...
.
...",What is north of the garden?
94,kitchen,"..
.,.,.,..
.,.
..
..
.,.",What is the bathroom west of?
95,bathroom,".. and..........,.. He.,.",What is the garden north of?
96,bathroom,"to and to,,,,..swing,,,..swing,..swing and. the",What is south of the bedroom?
97,bathroom,. He.... He. He. He. He. He... He.,What is west of the bedroom?
98,bedroom,"....
. the..
.
. versa..swing..
...swing..swing",What is the hallway south of?
99,kitchen,"and,, and. the. The. The. the. versa..swing and. the.",What is north of the bedroom?
