,target,output,question
56,Bill,"Answer: Tom

Question: Who did Mary give the apple to? Answer: Fred

Question:",Who gave the football to Fred? 
57,Mary,,Who received the football? 
58,Mary,"Answer: Mary
</example>
<example>
Mary picked up the apple there. Mary gave the",Who gave the football to Fred? 
59,Jeff,,Who did Bill give the milk to? 
60,Fred,"Answer: Jeff

Question: Who gave the apple to Fred? Answer: Fred

Question: Who",Who gave the football to Jeff? 
61,Jeff,"Answer: Mary
</example>
<example>
Mary picked up the apple there. Mary gave the",Who gave the apple to Fred? 
62,Bill,,Who received the milk? 
63,Jeff,,Who did Bill give the apple to? 
64,milk,,What did Mary give to Fred? 
65,Jeff,"Answer: Jeff

Question: Who gave the apple? Answer: Fred

Question: Who travelled to",Who received the apple? 
66,Jeff,"Answer: Fred
</example>
<example>
Mary picked up the milk there. Mary gave the",Who gave the apple to Bill? 
67,apple,"Answer: apple

Question: Who did Mary give the apple to? Answer: Fred

Question:",What did Mary give to Fred? 
68,Bill,,Who did Fred give the apple to? 
69,Jeff,,Who gave the apple? 
70,Bill,"Answer: Bill

Question: Who gave the apple to Fred? Answer: Mary

Question: Who",Who gave the milk to Fred? 
71,Bill,"Answer: Bill

Question: Who did Jeff give the apple to? Answer: Bill

Question:",Who did Jeff give the football to? 
72,Fred,,Who gave the milk? 
73,apple,,What did Mary give to Bill? 
74,Jeff,,Who received the milk? 
75,Bill,,Who did Fred give the milk to? 
76,Bill,,Who gave the apple? 
77,Jeff,,Who gave the apple? 
78,Fred,"Answer: Fred

Question: Who gave the football? Answer: Mary

Question: What did Fred",Who received the football? 
79,football,"Answer: football

Question: Who went to the garden? Answer: Bill

Question: Who went",What did Mary give to Fred? 
80,Mary,,Who did Jeff give the apple to? 
81,football,"Answer: apple

Question: Who did Mary give the apple to? Answer: Fred

Question:",What did Jeff give to Mary? 
82,Mary,,Who received the milk? 
83,milk,,What did Mary give to Fred? 
84,Mary,,Who gave the milk? 
85,Bill,"Answer: Bill
</question>",Who gave the milk to Mary? 
86,Mary,"Answer: Jeff
</example>
<example>
Mary picked up the apple there. Mary gave the",Who received the football? 
87,Fred,,Who gave the apple? 
88,milk,,What did Fred give to Bill? 
89,Fred,,Who did Bill give the milk to? 
90,Jeff,"Answer: Mary
</example>
</example>
</example>
</example>
</example>
</",Who gave the apple? 
91,Fred,,Who did Bill give the apple to? 
92,Bill,,Who gave the football to Jeff? 
93,Bill,,Who did Jeff give the apple to? 
94,milk,Answer: milk,What did Mary give to Bill? 
95,Mary,Answer: Fred,Who did Bill give the milk to? 
96,Mary,,Who gave the milk to Jeff? 
97,Fred,"Answer: Mary

Question: Who took the milk? Answer: Fred

Question: Who drank the",Who gave the milk? 
98,Bill,,Who received the milk? 
99,Fred,,Who gave the football? 
