,target,output,question
49,bathroom,..swing..swing..swing..swing..swing..swing..swing..swing..swing..swing,Where was the football before the office? 
50,bedroom,"....,..
.
.
..
.........",Where was the football before the kitchen? 
51,bedroom,".
 the.
.
....swing
.
.
.
 the.
...swing and the the",Where was the football before the kitchen? 
52,garden,"..
................ The.",Where was the milk before the bedroom? 
53,bathroom,".
.
.
.
.

.
The.
.
.

.
.
.
.
.
.
.
.",Where was the milk before the hallway? 
54,garden,"..
..
.
.....
..
..
..
..
..",Where was the apple before the office? 
55,garden,".
..
..
.............",Where was the football before the kitchen? 
56,office,,Where was the milk before the hallway? 
57,bathroom,".........,.,.,,,,,,,",Where was the milk before the office? 
58,bedroom,". The...,. The,..
.,.,.....",Where was the football before the office? 
59,garden,",..swing,://.swing..swing,..
 versa in the.
.swing,.
.swing,",Where was the milk before the office? 
60,garden,".
.
.
.
.
.
.
.
.
.
..
.
.
.
.
.
.
.
.",Where was the milk before the office? 
61,garden,"..
.
 the..........
.
.
.
.
.
.",Where was the milk before the hallway? 
62,hallway,",...,, the.....,.,. the.
.,",Where was the football before the kitchen? 
63,bathroom,. The. The................,Where was the apple before the hallway? 
64,bathroom,"......
.
.
.....
.
. to....",Where was the milk before the kitchen? 
65,bathroom,".
.swing to..swing to..swing..swing and that..swing to the to the.
.swing",Where was the milk before the kitchen? 
66,office,".... I..... I. I... I..
.",Where was the milk before the garden? 
67,hallway,"and..
.
.
.
. in..
....
.
.....",Where was the milk before the bedroom? 
68,kitchen,".
..
.... and...
..
..
..
..
.",Where was the milk before the bedroom? 
69,kitchen,....................,Where was the milk before the office? 
70,garden,"........ to..
..... The...",Where was the milk before the bathroom? 
71,bedroom,"and.ishment..
..
..
......
.....",Where was the milk before the kitchen? 
72,hallway,"The
The
The
The
The
The
The, the
The, the,",Where was the apple before the office? 
73,office,".................
. and.",Where was the milk before the kitchen? 
74,bedroom,"of..
..
..
.
.
.
..
..
.
.
.
.
..swing",Where was the milk before the garden? 
75,bedroom,"that that that that that that that that that that. that.. and..
.
.
.",Where was the apple before the bathroom? 
76,bathroom,". the. the..
. versa..swing. versa.
 the.
.
.
 versa.
.swing",Where was the apple before the hallway? 
77,bedroom,".
.
.
.
.
..
.
.
.
.
.swing. versa.
.
.",Where was the milk before the kitchen? 
78,bathroom,". the.
.
.
.
.
.
.
 the. trying. the.
.
.
.
.
.",Where was the apple before the hallway? 
79,kitchen,"of
the
The
The
The
The
The
The
The
The",Where was the apple before the bathroom? 
80,garden,....................,Where was the apple before the bedroom? 
81,office,".
.....
..
...
..
..
.....",Where was the apple before the garden? 
82,kitchen,". to the to the....
..
..
.......",Where was the apple before the garden? 
83,hallway,",.,.......... and......",Where was the apple before the bedroom? 
84,garden,".
 the. versa..swing..swing. the. the..swing..
 the.
.
.",Where was the milk before the hallway? 
85,kitchen,"..... The.,.,.,.,..
.. I.",Where was the milk before the bedroom? 
86,bedroom,"the.

.

.

. trying the.

..swing.

.

.",Where was the milk before the hallway? 
87,garden,".
.swing and.
.swing and.
.
.
.
.
.
.
..
.swing and the.
.swing",Where was the football before the bathroom? 
88,garden,"...
.....
..
..
..
..
.
.
.
.",Where was the football before the hallway? 
89,bathroom,"...,...,.,....
..
...
.",Where was the football before the garden? 
90,office,"..
..
..
..
.
.
.
.
.
.
.
.
.
..
.",Where was the apple before the bathroom? 
91,kitchen,"..... and.. and. and..
...
 and.
..",Where was the apple before the office? 
92,bathroom,".
.
.
.
.
..
.
.
. in. the. the..
.
.
.",Where was the football before the office? 
93,garden,....................,Where was the milk before the kitchen? 
94,office,....................,Where was the football before the hallway? 
95,bathroom,".
.
.
.
.
.
.

.
 to.

.
.
.
 to.
.
.
.",Where was the apple before the kitchen? 
96,office,"and.
.
.
.
.
.
.
.
.
.
.
.
 is..
.
.
.
.",Where was the apple before the kitchen? 
97,bedroom,".
..
.
.
.
.
.
.
.
.
 and the, and,,.
,.",Where was the apple before the bathroom? 
98,garden,"....
 the..
....
.
.
.
.
.
.
.
.
.",Where was the football before the hallway? 
99,bathroom,".
 the.
 the.
 the.
 the.
 the.
 I. I. The.
 I. The",Where was the football before the garden? 
