,target,output,question
86,Mary,....................,Who received the football? 
87,Fred,". I..
 the..swing. I. I. I. I. I. I.",Who gave the apple? 
88,milk,to to to to to to. to. in. The..... and. in,What did Fred give to Bill? 
89,Fred,".
.
.
 the,.
...
..
..
.
.
...
..",Who did Bill give the milk to? 
90,Jeff,.............. for.....,Who gave the apple? 
91,Fred,".. and..
...
...... with. with...",Who did Bill give the apple to? 
92,Bill,"..
. I. I. I.. I. I. I. I. I.",Who gave the football to Jeff? 
93,Bill,,Who did Jeff give the apple to? 
94,milk,".,.... that...., that. that.. The. The",What did Mary give to Bill? 
95,Mary,".,.. The. I. I. I. I. I. The.. The",Who did Bill give the milk to? 
96,Mary,"and....
.. of the..
.
...
 the..
. The",Who gave the milk to Jeff? 
97,Fred,....................,Who gave the milk? 
98,Bill,....................,Who received the milk? 
99,Fred,",. that. to the to.. the. trying.... the. the,",Who gave the football? 
