run_id,provenance_level,protocol_group,protocol_status,status,model_name,model_path,model_revision,num_layers,method,adapter_enabled,adapter_path,adapter_hash,benchmark,task,split,context_length,n_planned,n_valid,seed,resume_j,j_fraction,selector,topk,chunk_size,metric,score,score_scale,stderr,ci95_low,ci95_high,code_commit,run_date,gpu,config_path,predictions_path,scorer_output_path,log_path,source_summary_path,source_disk,notes
longbench/qcmem_0p6b_j3/hotpotqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-0.6B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-0.6b,,28,qcmem,False,,,LongBench,hotpotqa,full,,,200,,3,0.107,bm25,12,512,qa_f1,6.323,0-100,,,,,2026-07-14,,longbench_results/qcmem_0p6b_j3/eval_config_0.json,,longbench_results/qcmem_0p6b_j3/scores.json,,longbench_results/qcmem_0p6b_j3/scores.json,diskB,
longbench/qcmem_0p6b_j3/narrativeqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-0.6B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-0.6b,,28,qcmem,False,,,LongBench,narrativeqa,full,,,200,,3,0.107,bm25,12,512,qa_f1,1.777,0-100,,,,,2026-07-14,,longbench_results/qcmem_0p6b_j3/eval_config_0.json,,longbench_results/qcmem_0p6b_j3/scores.json,,longbench_results/qcmem_0p6b_j3/scores.json,diskB,
longbench/qcmem_0p6b_j3/qasper,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-0.6B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-0.6b,,28,qcmem,False,,,LongBench,qasper,full,,,200,,3,0.107,bm25,12,512,qa_f1,3.396,0-100,,,,,2026-07-14,,longbench_results/qcmem_0p6b_j3/eval_config_0.json,,longbench_results/qcmem_0p6b_j3/scores.json,,longbench_results/qcmem_0p6b_j3/scores.json,diskB,
longbench/qcmem_1p7b_j4/2wikimqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,2wikimqa,full,,,200,,4,0.143,bm25,12,512,qa_f1,8.378,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j4/eval_config_0.json,,longbench_results/qcmem_1p7b_j4/scores.json,,longbench_results/qcmem_1p7b_j4/scores.json,diskB,
longbench/qcmem_1p7b_j4/AVERAGE,A,qcmem_zs_recalloptimal_nNA,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,AVERAGE,full,,,,,4,0.143,bm25,12,512,qa_f1,6.067,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j4/eval_config_0.json,,longbench_results/qcmem_1p7b_j4/scores.json,,longbench_results/qcmem_1p7b_j4/scores.json,diskB,macro-avg over datasets
longbench/qcmem_1p7b_j4/hotpotqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,hotpotqa,full,,,200,,4,0.143,bm25,12,512,qa_f1,7.194,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j4/eval_config_0.json,,longbench_results/qcmem_1p7b_j4/scores.json,,longbench_results/qcmem_1p7b_j4/scores.json,diskB,
longbench/qcmem_1p7b_j4/narrativeqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,narrativeqa,full,,,200,,4,0.143,bm25,12,512,qa_f1,2.392,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j4/eval_config_0.json,,longbench_results/qcmem_1p7b_j4/scores.json,,longbench_results/qcmem_1p7b_j4/scores.json,diskB,
longbench/qcmem_1p7b_j4/qasper,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,qasper,full,,,200,,4,0.143,bm25,12,512,qa_f1,6.304,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j4/eval_config_0.json,,longbench_results/qcmem_1p7b_j4/scores.json,,longbench_results/qcmem_1p7b_j4/scores.json,diskB,
longbench/qcmem_1p7b_j5/2wikimqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,2wikimqa,full,,,200,,5,0.179,bm25,12,512,qa_f1,7.327,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j5/eval_config_0.json,,longbench_results/qcmem_1p7b_j5/scores.json,,longbench_results/qcmem_1p7b_j5/scores.json,diskB,
longbench/qcmem_1p7b_j5/AVERAGE,A,qcmem_zs_readoutsafe_nNA,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,AVERAGE,full,,,,,5,0.179,bm25,12,512,qa_f1,5.513,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j5/eval_config_0.json,,longbench_results/qcmem_1p7b_j5/scores.json,,longbench_results/qcmem_1p7b_j5/scores.json,diskB,macro-avg over datasets
longbench/qcmem_1p7b_j5/hotpotqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,hotpotqa,full,,,200,,5,0.179,bm25,12,512,qa_f1,6.957,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j5/eval_config_0.json,,longbench_results/qcmem_1p7b_j5/scores.json,,longbench_results/qcmem_1p7b_j5/scores.json,diskB,
longbench/qcmem_1p7b_j5/narrativeqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,narrativeqa,full,,,200,,5,0.179,bm25,12,512,qa_f1,2.147,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j5/eval_config_0.json,,longbench_results/qcmem_1p7b_j5/scores.json,,longbench_results/qcmem_1p7b_j5/scores.json,diskB,
longbench/qcmem_1p7b_j5/qasper,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,qasper,full,,,200,,5,0.179,bm25,12,512,qa_f1,5.622,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j5/eval_config_0.json,,longbench_results/qcmem_1p7b_j5/scores.json,,longbench_results/qcmem_1p7b_j5/scores.json,diskB,
longbench/qcmem_1p7b_j7/2wikimqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,2wikimqa,full,,,200,,7,0.25,bm25,12,512,qa_f1,7.518,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j7/eval_config_0.json,,longbench_results/qcmem_1p7b_j7/scores.json,,longbench_results/qcmem_1p7b_j7/scores.json,diskB,
longbench/qcmem_1p7b_j7/AVERAGE,A,qcmem_zs_readoutsafe_nNA,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,AVERAGE,full,,,,,7,0.25,bm25,12,512,qa_f1,5.408,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j7/eval_config_0.json,,longbench_results/qcmem_1p7b_j7/scores.json,,longbench_results/qcmem_1p7b_j7/scores.json,diskB,macro-avg over datasets
longbench/qcmem_1p7b_j7/hotpotqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,hotpotqa,full,,,200,,7,0.25,bm25,12,512,qa_f1,6.771,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j7/eval_config_0.json,,longbench_results/qcmem_1p7b_j7/scores.json,,longbench_results/qcmem_1p7b_j7/scores.json,diskB,
longbench/qcmem_1p7b_j7/narrativeqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,narrativeqa,full,,,200,,7,0.25,bm25,12,512,qa_f1,2.07,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j7/eval_config_0.json,,longbench_results/qcmem_1p7b_j7/scores.json,,longbench_results/qcmem_1p7b_j7/scores.json,diskB,
longbench/qcmem_1p7b_j7/qasper,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-1.7B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-1.7b,,28,qcmem,False,,,LongBench,qasper,full,,,200,,7,0.25,bm25,12,512,qa_f1,5.273,0-100,,,,,2026-07-14,,longbench_results/qcmem_1p7b_j7/eval_config_0.json,,longbench_results/qcmem_1p7b_j7/scores.json,,longbench_results/qcmem_1p7b_j7/scores.json,diskB,
longbench/qcmem_14b/2wikimqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-14B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-14b,,40,qcmem,False,,,LongBench,2wikimqa,full,,,200,,3,0.075,bm25,12,512,qa_f1,12.245,0-100,,,,,2026-07-16,,longbench_results/qcmem_14b/eval_config_shard2of4.json,,longbench_results/qcmem_14b/scores.json,,longbench_results/qcmem_14b/scores.json,diskB,
longbench/qcmem_14b/AVERAGE,A,qcmem_zs_recalloptimal_nNA,,complete,Qwen3-14B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-14b,,40,qcmem,False,,,LongBench,AVERAGE,full,,,,,3,0.075,bm25,12,512,qa_f1,9.629,0-100,,,,,2026-07-16,,longbench_results/qcmem_14b/eval_config_shard2of4.json,,longbench_results/qcmem_14b/scores.json,,longbench_results/qcmem_14b/scores.json,diskB,macro-avg over datasets
longbench/qcmem_14b/hotpotqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-14B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-14b,,40,qcmem,False,,,LongBench,hotpotqa,full,,,200,,3,0.075,bm25,12,512,qa_f1,9.978,0-100,,,,,2026-07-16,,longbench_results/qcmem_14b/eval_config_shard2of4.json,,longbench_results/qcmem_14b/scores.json,,longbench_results/qcmem_14b/scores.json,diskB,
longbench/qcmem_14b/narrativeqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-14B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-14b,,40,qcmem,False,,,LongBench,narrativeqa,full,,,200,,3,0.075,bm25,12,512,qa_f1,3.955,0-100,,,,,2026-07-16,,longbench_results/qcmem_14b/eval_config_shard2of4.json,,longbench_results/qcmem_14b/scores.json,,longbench_results/qcmem_14b/scores.json,diskB,
longbench/qcmem_14b/qasper,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-14B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen--Qwen3-14b,,40,qcmem,False,,,LongBench,qasper,full,,,200,,3,0.075,bm25,12,512,qa_f1,12.338,0-100,,,,,2026-07-16,,longbench_results/qcmem_14b/eval_config_shard2of4.json,,longbench_results/qcmem_14b/scores.json,,longbench_results/qcmem_14b/scores.json,diskB,
longbench/qcmem_30ba3b/2wikimqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-30B-A3B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-30B-A3B,,48,qcmem,False,,,LongBench,2wikimqa,full,,,200,,12,0.25,bm25,12,512,qa_f1,7.174,0-100,,,,,2026-07-16,,longbench_results/qcmem_30ba3b/eval_config_shard2of4.json,,longbench_results/qcmem_30ba3b/scores.json,,longbench_results/qcmem_30ba3b/scores.json,diskB,
longbench/qcmem_30ba3b/AVERAGE,A,qcmem_zs_readoutsafe_nNA,,complete,Qwen3-30B-A3B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-30B-A3B,,48,qcmem,False,,,LongBench,AVERAGE,full,,,,,12,0.25,bm25,12,512,qa_f1,6.614,0-100,,,,,2026-07-16,,longbench_results/qcmem_30ba3b/eval_config_shard2of4.json,,longbench_results/qcmem_30ba3b/scores.json,,longbench_results/qcmem_30ba3b/scores.json,diskB,macro-avg over datasets
longbench/qcmem_30ba3b/hotpotqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-30B-A3B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-30B-A3B,,48,qcmem,False,,,LongBench,hotpotqa,full,,,200,,12,0.25,bm25,12,512,qa_f1,4.099,0-100,,,,,2026-07-16,,longbench_results/qcmem_30ba3b/eval_config_shard2of4.json,,longbench_results/qcmem_30ba3b/scores.json,,longbench_results/qcmem_30ba3b/scores.json,diskB,
longbench/qcmem_30ba3b/narrativeqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-30B-A3B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-30B-A3B,,48,qcmem,False,,,LongBench,narrativeqa,full,,,200,,12,0.25,bm25,12,512,qa_f1,3.494,0-100,,,,,2026-07-16,,longbench_results/qcmem_30ba3b/eval_config_shard2of4.json,,longbench_results/qcmem_30ba3b/scores.json,,longbench_results/qcmem_30ba3b/scores.json,diskB,
longbench/qcmem_30ba3b/qasper,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-30B-A3B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-30B-A3B,,48,qcmem,False,,,LongBench,qasper,full,,,200,,12,0.25,bm25,12,512,qa_f1,11.69,0-100,,,,,2026-07-16,,longbench_results/qcmem_30ba3b/eval_config_shard2of4.json,,longbench_results/qcmem_30ba3b/scores.json,,longbench_results/qcmem_30ba3b/scores.json,diskB,
longbench/qcmem_32b/2wikimqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-32B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-32B,,64,qcmem,False,,,LongBench,2wikimqa,full,,,200,,3,0.047,bm25,12,512,qa_f1,15.013,0-100,,,,,2026-07-16,,longbench_results/qcmem_32b/eval_config_shard2of4.json,,longbench_results/qcmem_32b/scores.json,,longbench_results/qcmem_32b/scores.json,diskB,
longbench/qcmem_32b/AVERAGE,A,qcmem_zs_recalloptimal_nNA,,complete,Qwen3-32B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-32B,,64,qcmem,False,,,LongBench,AVERAGE,full,,,,,3,0.047,bm25,12,512,qa_f1,12.368,0-100,,,,,2026-07-16,,longbench_results/qcmem_32b/eval_config_shard2of4.json,,longbench_results/qcmem_32b/scores.json,,longbench_results/qcmem_32b/scores.json,diskB,macro-avg over datasets
longbench/qcmem_32b/hotpotqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-32B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-32B,,64,qcmem,False,,,LongBench,hotpotqa,full,,,200,,3,0.047,bm25,12,512,qa_f1,15.052,0-100,,,,,2026-07-16,,longbench_results/qcmem_32b/eval_config_shard2of4.json,,longbench_results/qcmem_32b/scores.json,,longbench_results/qcmem_32b/scores.json,diskB,
longbench/qcmem_32b/narrativeqa,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-32B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-32B,,64,qcmem,False,,,LongBench,narrativeqa,full,,,200,,3,0.047,bm25,12,512,qa_f1,6.153,0-100,,,,,2026-07-16,,longbench_results/qcmem_32b/eval_config_shard2of4.json,,longbench_results/qcmem_32b/scores.json,,longbench_results/qcmem_32b/scores.json,diskB,
longbench/qcmem_32b/qasper,A,qcmem_zs_recalloptimal_n100,,complete,Qwen3-32B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-32B,,64,qcmem,False,,,LongBench,qasper,full,,,200,,3,0.047,bm25,12,512,qa_f1,13.253,0-100,,,,,2026-07-16,,longbench_results/qcmem_32b/eval_config_shard2of4.json,,longbench_results/qcmem_32b/scores.json,,longbench_results/qcmem_32b/scores.json,diskB,
longbench/qcmem_4b/2wikimqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-4B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-4B,,36,qcmem,False,,,LongBench,2wikimqa,full,,,200,,12,0.333,bm25,12,512,qa_f1,8.404,0-100,,,,,2026-07-14,,longbench_results/qcmem_4b/eval_config_0.json,,longbench_results/qcmem_4b/scores.json,,longbench_results/qcmem_4b/scores.json,diskB,
longbench/qcmem_4b/AVERAGE,A,qcmem_zs_readoutsafe_nNA,,complete,Qwen3-4B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-4B,,36,qcmem,False,,,LongBench,AVERAGE,full,,,,,12,0.333,bm25,12,512,qa_f1,7.682,0-100,,,,,2026-07-14,,longbench_results/qcmem_4b/eval_config_0.json,,longbench_results/qcmem_4b/scores.json,,longbench_results/qcmem_4b/scores.json,diskB,macro-avg over datasets
longbench/qcmem_4b/hotpotqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-4B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-4B,,36,qcmem,False,,,LongBench,hotpotqa,full,,,200,,12,0.333,bm25,12,512,qa_f1,8.496,0-100,,,,,2026-07-14,,longbench_results/qcmem_4b/eval_config_0.json,,longbench_results/qcmem_4b/scores.json,,longbench_results/qcmem_4b/scores.json,diskB,
longbench/qcmem_4b/narrativeqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-4B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-4B,,36,qcmem,False,,,LongBench,narrativeqa,full,,,200,,12,0.333,bm25,12,512,qa_f1,3.253,0-100,,,,,2026-07-14,,longbench_results/qcmem_4b/eval_config_0.json,,longbench_results/qcmem_4b/scores.json,,longbench_results/qcmem_4b/scores.json,diskB,
longbench/qcmem_4b/qasper,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-4B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-4B,,36,qcmem,False,,,LongBench,qasper,full,,,200,,12,0.333,bm25,12,512,qa_f1,10.576,0-100,,,,,2026-07-14,,longbench_results/qcmem_4b/eval_config_0.json,,longbench_results/qcmem_4b/scores.json,,longbench_results/qcmem_4b/scores.json,diskB,
longbench/qcmem_4b_j9/2wikimqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-4B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-4B,,36,qcmem,False,,,LongBench,2wikimqa,full,,,200,,9,0.25,bm25,12,512,qa_f1,10.396,0-100,,,,,2026-07-14,,longbench_results/qcmem_4b_j9/eval_config_0.json,,longbench_results/qcmem_4b_j9/scores.json,,longbench_results/qcmem_4b_j9/scores.json,diskB,
longbench/qcmem_4b_j9/AVERAGE,A,qcmem_zs_readoutsafe_nNA,,complete,Qwen3-4B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-4B,,36,qcmem,False,,,LongBench,AVERAGE,full,,,,,9,0.25,bm25,12,512,qa_f1,8.505,0-100,,,,,2026-07-14,,longbench_results/qcmem_4b_j9/eval_config_0.json,,longbench_results/qcmem_4b_j9/scores.json,,longbench_results/qcmem_4b_j9/scores.json,diskB,macro-avg over datasets
longbench/qcmem_4b_j9/hotpotqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-4B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-4B,,36,qcmem,False,,,LongBench,hotpotqa,full,,,200,,9,0.25,bm25,12,512,qa_f1,9.234,0-100,,,,,2026-07-14,,longbench_results/qcmem_4b_j9/eval_config_0.json,,longbench_results/qcmem_4b_j9/scores.json,,longbench_results/qcmem_4b_j9/scores.json,diskB,
longbench/qcmem_4b_j9/narrativeqa,A,qcmem_zs_readoutsafe_n100,,complete,Qwen3-4B,/apdcephfs_zwfy6/share_304376610/pighzliu_code/models/Qwen3-4B,,36,qcmem,False,,,LongBench,narrativeqa,full,,,200,,9,0.25,bm25,12,512,qa_f1,3.458,0-100,,,,,2026-07-14,,longbench_results/qcmem_4b_j9/eval_config_0.json,,longbench_results/qcmem_4b_j9/scores.json,,longbench_results/qcmem_4b_j9/scores.json,diskB,
