,target,output,question
32,office,Answer: She is in the office. Question: Where is Mary? Answer: She is in the,Where is Mary? 
33,kitchen,Answer: The most recent location of Sandra is the bathroom. Sandra went to the bathroom. MOTION,Where is Sandra? 
34,garden,Answer: The most recent location of Sandra is the kitchen. Do not write anything else after that.,Where is Sandra? 
35,kitchen,Answer: Sandra is in the kitchen. Where is the kitchen? Answer: The kitchen is in the,Where is Sandra? 
36,kitchen,Answer: The most recent location of Sandra is the kitchen. She is not in the nunnery,Where is Sandra? 
37,garden,Answer: The most recent location of John is the garden. Do not write anything else after that.,Where is John? 
38,garden,Answer: The most recent location of Sandra is the kitchen. Do not write anything else after that.,Where is Sandra? 
39,bathroom,Answer: The most recent location of Sandra is the garden. Do not write anything else after that.,Where is Sandra? 
40,bedroom,"Answer: The most recent location of Mary is the office of the
publishers. Do not write",Where is Mary? 
41,kitchen,What is the most recent location of Sandra? What is the most recent location of Charlie? What is,Where is Sandra? 
42,office,"Answer: She is in the garden. She is looking after the flowers. She is not
looking",Where is Mary? 
43,bedroom,Answer: The most recent location of Mary is the bedroom.,Where is Mary? 
44,office,Answer: The most recent location of Daniel is the office.,Where is Daniel? 
45,office,Answer: The most recent location of Sandra is the office. Do not write anything else after that.,Where is Sandra? 
46,bathroom,Answer: The most recent location of Sandra is the bathroom. Do not write anything else after that.,Where is Sandra? 
47,bedroom,Answer: The most recent location of Sandra is the kitchen.,Where is Sandra? 
48,office,Answer: The most recent location of Daniel is the office.,Where is Daniel? 
49,bedroom,"Answer: The most recent location of Sandra is the bedroom. She is
sleeping. She is",Where is Sandra? 
50,hallway,"Answer: The most recent location of Daniel is the Astor House, New York City. Do not",Where is Daniel? 
51,bedroom,Answer: The most recent location of Sandra is the bedroom.,Where is Sandra? 
52,office,"Answer: John is in the kitchen. He is
eating a piece of bread and butter. He",Where is John? 
53,garden,"Answer: The most recent location of John is the garden.

Question: Where is Sandra? Answer:",Where is John? 
54,kitchen,"Answer: The most recent location of Daniel is the kitchen.

Question: Where is Daniel? Answer:",Where is Daniel? 
55,hallway,Answer: The most recent location of Mary is the hallway.,Where is Mary? 
56,hallway,"Answer: The most recent location of Sandra is the library, where she is reading the history of Maryland",Where is Sandra? 
57,hallway,Answer: He is in the cabin. Where is John? Answer: He is in the cabin.,Where is John? 
58,bedroom,"Answer: The most recent location of Mary is the kitchen. [1] The
Shereef",Where is Mary? 
59,bedroom,Answer: The most recent location of Sandra is the kitchen. Do not write anything else after that.,Where is Sandra? 
60,bedroom,,Where is Daniel? 
61,kitchen,Answer: The most recent location of Sandra is the kitchen. Do not write anything else after that.,Where is Sandra? 
62,bedroom,What is his position? What is his relationship to Lester? What is his relationship to Jennie?,Where is Daniel? 
63,garden,Answer: The most recent location of John is the hallway.,Where is John? 
64,bathroom,Answer: The most recent location of Sandra is the bathroom. Do not write anything else after that.,Where is Sandra? 
65,garden,Answer: The most recent location of Sandra is the garden.,Where is Sandra? 
66,office,Answer: He is in the kitchen. Daniel is in the kitchen. Daniel is in the kitchen.,Where is Daniel? 
67,bedroom,Answer: The most recent location of Mary is the bedroom. Do not write anything else after that.,Where is Mary? 
68,garden,Answer: The most recent location of Sandra is the garden. Do not write anything else after that.,Where is Sandra? 
69,bathroom,Answer: Sandra is in the bathroom. She is in the bathroom because she is in the kitchen.,Where is Sandra? 
70,office,"Answer: The most recent location of John is the office. He is
not in the garden.",Where is John? 
71,kitchen,What is the most recent location of Daniel? What is the most recent location of Judith? What is,Where is Daniel? 
72,bedroom,Answer: He is in the bedroom. Where is the day that? Answer: After surmounting,Where is John? 
73,office,Answer: In the kitchen.,Where is Daniel? 
74,bathroom,Answer: The most recent location of Sandra is the bedroom. Do not write anything else after that.,Where is Sandra? 
75,office,Answer: The most recent location of John is the office. Do not write anything else after that.,Where is John? 
76,hallway,"Answer: She is in the office. She is
very much upset, and she is trying to",Where is Mary? 
77,office,Answer: The most recent location of John is the office. Do not write anything else after that.,Where is John? 
78,office,Answer: She is in the garden. She is in the garden because she is in the garden.,Where is Sandra? 
79,bathroom,Answer: John is in the house. He is in the house. He is in the house.,Where is John? 
80,hallway,Answer: He is at Bowling Green. What is the name of the town where John is? Answer,Where is John? 
81,hallway,"Answer: He is in the garden. He is
looking at the stars. He is looking at",Where is Daniel? 
82,hallway,Answer: The most recent location of Daniel is the kitchen. Do not write anything else after that.,Where is Daniel? 
83,bathroom,Answer: In the bathroom. Question: Where is Judith? Answer: In the kitchen. Question:,Where is Daniel? 
84,bathroom,Answer: He is in the kitchen. Question: Where is Charlie? Answer: He is in the,Where is John? 
85,bathroom,Answer: In the cell of the Inquisition. Daniel was a prisoner in the Inquisition. He,Where is Daniel? 
86,garden,Answer: The most recent location of John is the garden. Do not write anything else after that.,Where is John? 
87,bedroom,"Answer: The most recent location of John is the
balcony. Do not write anything else",Where is John? 
88,office,Answer: The most recent location of Mary is the office of the Postmaster General. Do not write,Where is Mary? 
89,garden,"Answer: The most recent location of Sandra is the
back of the house. Do not write anything",Where is Sandra? 
90,office,,Where is John? 
91,bedroom,"Answer: The most recent location of Daniel is the bedroom. Daniel went to the
bathroom.",Where is Daniel? 
92,hallway,Answer: He is in the garden. He is playing the flute. Where is Judith? Answer:,Where is John? 
93,kitchen,"Answer: He is in the kitchen. He is
making a pie. He is making a pie",Where is Daniel? 
94,bedroom,What is the most recent location of Daniel?,Where is Daniel? 
95,hallway,Answer: The most recent location of Sandra is the garden. Do not write anything else after that.,Where is Sandra? 
96,garden,Answer: In the bathroom. What is the bathroom? Answer: The room where the mind of Leonardo,Where is Sandra? 
97,bedroom,"Answer: He is in the automobile. He is
sitting in the front seat, with his",Where is John? 
98,office,Answer: The most recent location of John is the office.,Where is John? 
99,garden,Answer: The most recent location of Sandra is the kitchen.,Where is Sandra? 
