idx,task,length,scorer,n_chunks,needle_chunks,needle_located,pool_offset,n_candidates,needle_in_buffer,needle_evicted,needle_rank,recall@1,recall@2,recall@4,recall@8,recall@16
17,qa5,16k,S1,31,27,True,,0,False,False,,,,,,
17,qa5,16k,S2,31,27,True,,0,False,False,,,,,,
17,qa5,16k,S3,31,27,True,,0,False,False,,,,,,
17,qa5,16k,S4,31,27,True,,0,False,False,,,,,,
18,qa5,16k,S1,31,0;27,True,,0,False,False,,,,,,
18,qa5,16k,S2,31,0;27,True,,0,False,False,,,,,,
18,qa5,16k,S3,31,0;27,True,,0,False,False,,,,,,
18,qa5,16k,S4,31,0;27,True,,0,False,False,,,,,,
19,qa5,16k,S1,27,23,True,,0,False,False,,,,,,
19,qa5,16k,S2,27,23,True,,0,False,False,,,,,,
19,qa5,16k,S3,27,23,True,,0,False,False,,,,,,
19,qa5,16k,S4,27,23,True,,0,False,False,,,,,,
20,qa5,16k,S1,31,0;20,True,,0,False,False,,,,,,
20,qa5,16k,S2,31,0;20,True,,0,False,False,,,,,,
20,qa5,16k,S3,31,0;20,True,,0,False,False,,,,,,
20,qa5,16k,S4,31,0;20,True,,0,False,False,,,,,,
21,qa5,16k,S1,31,0;24,True,,0,False,False,,,,,,
21,qa5,16k,S2,31,0;24,True,,0,False,False,,,,,,
21,qa5,16k,S3,31,0;24,True,,0,False,False,,,,,,
21,qa5,16k,S4,31,0;24,True,,0,False,False,,,,,,
22,qa5,16k,S1,31,0;29,True,,0,False,False,,,,,,
22,qa5,16k,S2,31,0;29,True,,0,False,False,,,,,,
22,qa5,16k,S3,31,0;29,True,,0,False,False,,,,,,
22,qa5,16k,S4,31,0;29,True,,0,False,False,,,,,,
23,qa5,16k,S1,30,26,True,,0,False,False,,,,,,
23,qa5,16k,S2,30,26,True,,0,False,False,,,,,,
23,qa5,16k,S3,30,26,True,,0,False,False,,,,,,
23,qa5,16k,S4,30,26,True,,0,False,False,,,,,,
24,qa5,16k,S1,31,22,True,,0,False,False,,,,,,
24,qa5,16k,S2,31,22,True,,0,False,False,,,,,,
24,qa5,16k,S3,31,22,True,,0,False,False,,,,,,
24,qa5,16k,S4,31,22,True,,0,False,False,,,,,,
25,qa5,16k,S1,31,25,True,,0,False,False,,,,,,
25,qa5,16k,S2,31,25,True,,0,False,False,,,,,,
25,qa5,16k,S3,31,25,True,,0,False,False,,,,,,
25,qa5,16k,S4,31,25,True,,0,False,False,,,,,,
26,qa5,16k,S1,30,0;27,True,,0,False,False,,,,,,
26,qa5,16k,S2,30,0;27,True,,0,False,False,,,,,,
26,qa5,16k,S3,30,0;27,True,,0,False,False,,,,,,
26,qa5,16k,S4,30,0;27,True,,0,False,False,,,,,,
27,qa5,16k,S1,28,0;17,True,,0,False,False,,,,,,
27,qa5,16k,S2,28,0;17,True,,0,False,False,,,,,,
27,qa5,16k,S3,28,0;17,True,,0,False,False,,,,,,
27,qa5,16k,S4,28,0;17,True,,0,False,False,,,,,,
28,qa5,16k,S1,29,0;26,True,,0,False,False,,,,,,
28,qa5,16k,S2,29,0;26,True,,0,False,False,,,,,,
28,qa5,16k,S3,29,0;26,True,,0,False,False,,,,,,
28,qa5,16k,S4,29,0;26,True,,0,False,False,,,,,,
29,qa5,16k,S1,28,0;25,True,,0,False,False,,,,,,
29,qa5,16k,S2,28,0;25,True,,0,False,False,,,,,,
29,qa5,16k,S3,28,0;25,True,,0,False,False,,,,,,
29,qa5,16k,S4,28,0;25,True,,0,False,False,,,,,,
30,qa5,16k,S1,30,23,True,,0,False,False,,,,,,
30,qa5,16k,S2,30,23,True,,0,False,False,,,,,,
30,qa5,16k,S3,30,23,True,,0,False,False,,,,,,
30,qa5,16k,S4,30,23,True,,0,False,False,,,,,,
31,qa5,16k,S1,30,0;28,True,,0,False,False,,,,,,
31,qa5,16k,S2,30,0;28,True,,0,False,False,,,,,,
31,qa5,16k,S3,30,0;28,True,,0,False,False,,,,,,
31,qa5,16k,S4,30,0;28,True,,0,False,False,,,,,,
32,qa5,16k,S1,31,0;28,True,,0,False,False,,,,,,
32,qa5,16k,S2,31,0;28,True,,0,False,False,,,,,,
32,qa5,16k,S3,31,0;28,True,,0,False,False,,,,,,
32,qa5,16k,S4,31,0;28,True,,0,False,False,,,,,,
33,qa5,16k,S1,31,27,True,,0,False,False,,,,,,
33,qa5,16k,S2,31,27,True,,0,False,False,,,,,,
33,qa5,16k,S3,31,27,True,,0,False,False,,,,,,
33,qa5,16k,S4,31,27,True,,0,False,False,,,,,,
34,qa5,16k,S1,25,24,True,,0,False,False,,,,,,
34,qa5,16k,S2,25,24,True,,0,False,False,,,,,,
34,qa5,16k,S3,25,24,True,,0,False,False,,,,,,
34,qa5,16k,S4,25,24,True,,0,False,False,,,,,,
35,qa5,16k,S1,30,15,True,,0,False,False,,,,,,
35,qa5,16k,S2,30,15,True,,0,False,False,,,,,,
35,qa5,16k,S3,30,15,True,,0,False,False,,,,,,
35,qa5,16k,S4,30,15,True,,0,False,False,,,,,,
36,qa5,16k,S1,31,0;30,True,,0,False,False,,,,,,
36,qa5,16k,S2,31,0;30,True,,0,False,False,,,,,,
36,qa5,16k,S3,31,0;30,True,,0,False,False,,,,,,
36,qa5,16k,S4,31,0;30,True,,0,False,False,,,,,,
37,qa5,16k,S1,31,26,True,,0,False,False,,,,,,
37,qa5,16k,S2,31,26,True,,0,False,False,,,,,,
37,qa5,16k,S3,31,26,True,,0,False,False,,,,,,
37,qa5,16k,S4,31,26,True,,0,False,False,,,,,,
38,qa5,16k,S1,31,29;30,True,,0,False,False,,,,,,
38,qa5,16k,S2,31,29;30,True,,0,False,False,,,,,,
38,qa5,16k,S3,31,29;30,True,,0,False,False,,,,,,
38,qa5,16k,S4,31,29;30,True,,0,False,False,,,,,,
39,qa5,16k,S1,31,30,True,,0,False,False,,,,,,
39,qa5,16k,S2,31,30,True,,0,False,False,,,,,,
39,qa5,16k,S3,31,30,True,,0,False,False,,,,,,
39,qa5,16k,S4,31,30,True,,0,False,False,,,,,,
40,qa5,16k,S1,31,25,True,,0,False,False,,,,,,
40,qa5,16k,S2,31,25,True,,0,False,False,,,,,,
40,qa5,16k,S3,31,25,True,,0,False,False,,,,,,
40,qa5,16k,S4,31,25,True,,0,False,False,,,,,,
41,qa5,16k,S1,28,0;25,True,,0,False,False,,,,,,
41,qa5,16k,S2,28,0;25,True,,0,False,False,,,,,,
41,qa5,16k,S3,28,0;25,True,,0,False,False,,,,,,
41,qa5,16k,S4,28,0;25,True,,0,False,False,,,,,,
42,qa5,16k,S1,28,0;26,True,,0,False,False,,,,,,
42,qa5,16k,S2,28,0;26,True,,0,False,False,,,,,,
42,qa5,16k,S3,28,0;26,True,,0,False,False,,,,,,
42,qa5,16k,S4,28,0;26,True,,0,False,False,,,,,,
43,qa5,16k,S1,31,0;27,True,,0,False,False,,,,,,
43,qa5,16k,S2,31,0;27,True,,0,False,False,,,,,,
43,qa5,16k,S3,31,0;27,True,,0,False,False,,,,,,
43,qa5,16k,S4,31,0;27,True,,0,False,False,,,,,,
44,qa5,16k,S1,30,0;27,True,,0,False,False,,,,,,
44,qa5,16k,S2,30,0;27,True,,0,False,False,,,,,,
44,qa5,16k,S3,30,0;27,True,,0,False,False,,,,,,
44,qa5,16k,S4,30,0;27,True,,0,False,False,,,,,,
45,qa5,16k,S1,30,28,True,,0,False,False,,,,,,
45,qa5,16k,S2,30,28,True,,0,False,False,,,,,,
45,qa5,16k,S3,30,28,True,,0,False,False,,,,,,
45,qa5,16k,S4,30,28,True,,0,False,False,,,,,,
46,qa5,16k,S1,30,0;29,True,,0,False,False,,,,,,
46,qa5,16k,S2,30,0;29,True,,0,False,False,,,,,,
46,qa5,16k,S3,30,0;29,True,,0,False,False,,,,,,
46,qa5,16k,S4,30,0;29,True,,0,False,False,,,,,,
47,qa5,16k,S1,30,25;26,True,,0,False,False,,,,,,
47,qa5,16k,S2,30,25;26,True,,0,False,False,,,,,,
47,qa5,16k,S3,30,25;26,True,,0,False,False,,,,,,
47,qa5,16k,S4,30,25;26,True,,0,False,False,,,,,,
48,qa5,16k,S1,31,0;29,True,,0,False,False,,,,,,
48,qa5,16k,S2,31,0;29,True,,0,False,False,,,,,,
48,qa5,16k,S3,31,0;29,True,,0,False,False,,,,,,
48,qa5,16k,S4,31,0;29,True,,0,False,False,,,,,,
49,qa5,16k,S1,31,30,True,,0,False,False,,,,,,
49,qa5,16k,S2,31,30,True,,0,False,False,,,,,,
49,qa5,16k,S3,31,30,True,,0,False,False,,,,,,
49,qa5,16k,S4,31,30,True,,0,False,False,,,,,,
