convention,arm,axis,demoted,unsettled,reported,reported_intact,null,residual_arm_pp,residual_intact_pp,frac_recovered,diff_mean_pp,diff_lower95_one_sided_pp,delta_pp,ni_accept
split,cpt20k_step220000,mmlu_content,False,False,0.322390,0.386839,0.284450,3.7940,10.2389,0.3705,-6.4450,-7.0075,1.0239,False
split,cpt20k_step220000,nq_open,True,False,0.029363,0.102493,0.005540,2.3823,9.6953,0.2457,-7.3130,-8.1177,0.9695,False
split,arm4_peaklr20k_step205000,triviaqa,False,True,0.081810,0.406877,0.002564,7.9247,40.4313,0.1960,-32.5067,-33.1086,4.0431,False
split,arm4_peaklr20k_step205000,popqa,False,True,0.029719,0.154973,0.022920,0.6799,13.2053,0.0515,-12.5254,-13.0231,1.3205,False
split,arm4_peaklr20k_step205000,mmlu_content,False,True,0.321322,0.386839,0.284450,3.6872,10.2389,0.3601,-6.5518,-7.1215,1.0239,False
split,arm4_peaklr20k_step205000,nq_open,True,True,0.026039,0.102493,0.005540,2.0499,9.6953,0.2114,-7.6454,-8.4765,0.9695,False
split,arm4_peaklr20k_step210000,triviaqa,False,True,0.108449,0.406877,0.002564,10.5885,40.4313,0.2619,-29.8428,-30.4503,4.0431,False
split,arm4_peaklr20k_step210000,popqa,False,True,0.041424,0.154973,0.022920,1.8504,13.2053,0.1401,-11.3549,-11.8105,1.3205,False
split,arm4_peaklr20k_step210000,mmlu_content,False,True,0.322888,0.386839,0.284450,3.8438,10.2389,0.3754,-6.3951,-6.9648,1.0239,False
split,arm4_peaklr20k_step210000,nq_open,True,True,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9501,0.9695,False
split,arm4_peaklr20k_step215000,triviaqa,False,True,0.094683,0.406877,0.002564,9.2120,40.4313,0.2278,-31.2193,-31.8212,4.0431,False
split,arm4_peaklr20k_step215000,popqa,False,True,0.035396,0.154973,0.022920,1.2476,13.2053,0.0945,-11.9577,-12.4273,1.3205,False
split,arm4_peaklr20k_step215000,mmlu_content,False,True,0.321535,0.386839,0.284450,3.7085,10.2389,0.3622,-6.5304,-7.1072,1.0239,False
split,arm4_peaklr20k_step215000,nq_open,True,True,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9224,0.9695,False
first,keep7f2_step200000,triviaqa,False,False,0.095854,0.406877,0.002564,9.3290,40.4313,0.2307,-31.1023,-31.6986,4.0431,False
first,keep7f2_step200000,popqa,False,False,0.039392,0.154973,0.022920,1.6472,13.2053,0.1247,-11.5581,-12.0207,1.3205,False
first,keep7f2_step200000,mmlu_content,False,False,0.324384,0.386839,0.281085,4.3299,10.5754,0.4094,-6.2455,-6.8010,1.0575,False
first,keep7f2_step200000,nq_open,True,False,0.028532,0.102493,0.005540,2.2992,9.6953,0.2371,-7.3961,-8.2548,0.9695,False
first,cpt20k_step205000,triviaqa,False,False,0.091005,0.406877,0.002564,8.8442,40.4313,0.2187,-31.5872,-32.1835,4.0431,False
first,cpt20k_step205000,popqa,False,False,0.035887,0.154973,0.022920,1.2967,13.2053,0.0982,-11.9086,-12.3712,1.3205,False
first,cpt20k_step205000,mmlu_content,False,False,0.323245,0.386839,0.281085,4.2159,10.5754,0.3987,-6.3595,-6.9150,1.0575,False
first,cpt20k_step205000,nq_open,True,False,0.029640,0.102493,0.005540,2.4100,9.6953,0.2486,-7.2853,-8.1163,0.9695,False
first,cpt20k_step210000,triviaqa,False,False,0.099588,0.406877,0.002564,9.7024,40.4313,0.2400,-30.7289,-31.3252,4.0431,False
first,cpt20k_step210000,popqa,False,False,0.041004,0.154973,0.022920,1.8084,13.2053,0.1369,-11.3969,-11.8876,1.3205,False
first,cpt20k_step210000,mmlu_content,False,False,0.322034,0.386839,0.281085,4.0949,10.5754,0.3872,-6.4806,-7.0503,1.0575,False
first,cpt20k_step210000,nq_open,True,False,0.028532,0.102493,0.005540,2.2992,9.6953,0.2371,-7.3961,-8.2008,0.9695,False
first,cpt20k_step215000,triviaqa,False,False,0.095687,0.406877,0.002564,9.3123,40.4313,0.2303,-31.1190,-31.7045,4.0431,False
first,cpt20k_step215000,popqa,False,False,0.038971,0.154973,0.022920,1.6051,13.2053,0.1215,-11.6002,-12.0838,1.3205,False
first,cpt20k_step215000,mmlu_content,False,False,0.323245,0.386839,0.281085,4.2159,10.5754,0.3987,-6.3595,-6.9221,1.0575,False
first,cpt20k_step215000,nq_open,True,False,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9501,0.9695,False
first,cpt20k_step220000,triviaqa,False,False,0.100646,0.406877,0.002564,9.8083,40.4313,0.2426,-30.6230,-31.2193,4.0431,False
first,cpt20k_step220000,popqa,False,False,0.039392,0.154973,0.022920,1.6472,13.2053,0.1247,-11.5581,-12.0207,1.3205,False
first,cpt20k_step220000,mmlu_content,False,False,0.322390,0.386839,0.281085,4.1305,10.5754,0.3906,-6.4450,-7.0075,1.0575,False
first,cpt20k_step220000,nq_open,True,False,0.029363,0.102493,0.005540,2.3823,9.6953,0.2457,-7.3130,-8.1177,0.9695,False
first,arm4_peaklr20k_step205000,triviaqa,False,True,0.081810,0.406877,0.002564,7.9247,40.4313,0.1960,-32.5067,-33.1086,4.0431,False
first,arm4_peaklr20k_step205000,popqa,False,True,0.029719,0.154973,0.022920,0.6799,13.2053,0.0515,-12.5254,-13.0231,1.3205,False
first,arm4_peaklr20k_step205000,mmlu_content,False,True,0.321322,0.386839,0.281085,4.0236,10.5754,0.3805,-6.5518,-7.1215,1.0575,False
first,arm4_peaklr20k_step205000,nq_open,True,True,0.026039,0.102493,0.005540,2.0499,9.6953,0.2114,-7.6454,-8.4765,0.9695,False
first,arm4_peaklr20k_step210000,triviaqa,False,True,0.108449,0.406877,0.002564,10.5885,40.4313,0.2619,-29.8428,-30.4503,4.0431,False
first,arm4_peaklr20k_step210000,popqa,False,True,0.041424,0.154973,0.022920,1.8504,13.2053,0.1401,-11.3549,-11.8105,1.3205,False
first,arm4_peaklr20k_step210000,mmlu_content,False,True,0.322888,0.386839,0.281085,4.1803,10.5754,0.3953,-6.3951,-6.9648,1.0575,False
first,arm4_peaklr20k_step210000,nq_open,True,True,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9501,0.9695,False
first,arm4_peaklr20k_step215000,triviaqa,False,True,0.094683,0.406877,0.002564,9.2120,40.4313,0.2278,-31.2193,-31.8212,4.0431,False
first,arm4_peaklr20k_step215000,popqa,False,True,0.035396,0.154973,0.022920,1.2476,13.2053,0.0945,-11.9577,-12.4273,1.3205,False
first,arm4_peaklr20k_step215000,mmlu_content,False,True,0.321535,0.386839,0.281085,4.0450,10.5754,0.3825,-6.5304,-7.1072,1.0575,False
first,arm4_peaklr20k_step215000,nq_open,True,True,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9224,0.9695,False
last,keep7f2_step200000,triviaqa,False,False,0.095854,0.406877,0.002564,9.3290,40.4313,0.2307,-31.1023,-31.6986,4.0431,False
last,keep7f2_step200000,popqa,False,False,0.039392,0.154973,0.022920,1.6472,13.2053,0.1247,-11.5581,-12.0207,1.3205,False
last,keep7f2_step200000,mmlu_content,False,False,0.324384,0.386839,0.282154,4.2230,10.4686,0.4034,-6.2455,-6.8010,1.0469,False
last,keep7f2_step200000,nq_open,True,False,0.028532,0.102493,0.005540,2.2992,9.6953,0.2371,-7.3961,-8.2548,0.9695,False
last,cpt20k_step205000,triviaqa,False,False,0.091005,0.406877,0.002564,8.8442,40.4313,0.2187,-31.5872,-32.1835,4.0431,False
last,cpt20k_step205000,popqa,False,False,0.035887,0.154973,0.022920,1.2967,13.2053,0.0982,-11.9086,-12.3712,1.3205,False
last,cpt20k_step205000,mmlu_content,False,False,0.323245,0.386839,0.282154,4.1091,10.4686,0.3925,-6.3595,-6.9150,1.0469,False
last,cpt20k_step205000,nq_open,True,False,0.029640,0.102493,0.005540,2.4100,9.6953,0.2486,-7.2853,-8.1163,0.9695,False
last,cpt20k_step210000,triviaqa,False,False,0.099588,0.406877,0.002564,9.7024,40.4313,0.2400,-30.7289,-31.3252,4.0431,False
last,cpt20k_step210000,popqa,False,False,0.041004,0.154973,0.022920,1.8084,13.2053,0.1369,-11.3969,-11.8876,1.3205,False
last,cpt20k_step210000,mmlu_content,False,False,0.322034,0.386839,0.282154,3.9880,10.4686,0.3810,-6.4806,-7.0503,1.0469,False
last,cpt20k_step210000,nq_open,True,False,0.028532,0.102493,0.005540,2.2992,9.6953,0.2371,-7.3961,-8.2008,0.9695,False
last,cpt20k_step215000,triviaqa,False,False,0.095687,0.406877,0.002564,9.3123,40.4313,0.2303,-31.1190,-31.7045,4.0431,False
last,cpt20k_step215000,popqa,False,False,0.038971,0.154973,0.022920,1.6051,13.2053,0.1215,-11.6002,-12.0838,1.3205,False
last,cpt20k_step215000,mmlu_content,False,False,0.323245,0.386839,0.282154,4.1091,10.4686,0.3925,-6.3595,-6.9221,1.0469,False
last,cpt20k_step215000,nq_open,True,False,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9501,0.9695,False
last,cpt20k_step220000,triviaqa,False,False,0.100646,0.406877,0.002564,9.8083,40.4313,0.2426,-30.6230,-31.2193,4.0431,False
last,cpt20k_step220000,popqa,False,False,0.039392,0.154973,0.022920,1.6472,13.2053,0.1247,-11.5581,-12.0207,1.3205,False
last,cpt20k_step220000,mmlu_content,False,False,0.322390,0.386839,0.282154,4.0236,10.4686,0.3844,-6.4450,-7.0075,1.0469,False
last,cpt20k_step220000,nq_open,True,False,0.029363,0.102493,0.005540,2.3823,9.6953,0.2457,-7.3130,-8.1177,0.9695,False
last,arm4_peaklr20k_step205000,triviaqa,False,True,0.081810,0.406877,0.002564,7.9247,40.4313,0.1960,-32.5067,-33.1086,4.0431,False
last,arm4_peaklr20k_step205000,popqa,False,True,0.029719,0.154973,0.022920,0.6799,13.2053,0.0515,-12.5254,-13.0231,1.3205,False
last,arm4_peaklr20k_step205000,mmlu_content,False,True,0.321322,0.386839,0.282154,3.9168,10.4686,0.3741,-6.5518,-7.1215,1.0469,False
last,arm4_peaklr20k_step205000,nq_open,True,True,0.026039,0.102493,0.005540,2.0499,9.6953,0.2114,-7.6454,-8.4765,0.9695,False
last,arm4_peaklr20k_step210000,triviaqa,False,True,0.108449,0.406877,0.002564,10.5885,40.4313,0.2619,-29.8428,-30.4503,4.0431,False
last,arm4_peaklr20k_step210000,popqa,False,True,0.041424,0.154973,0.022920,1.8504,13.2053,0.1401,-11.3549,-11.8105,1.3205,False
last,arm4_peaklr20k_step210000,mmlu_content,False,True,0.322888,0.386839,0.282154,4.0735,10.4686,0.3891,-6.3951,-6.9648,1.0469,False
last,arm4_peaklr20k_step210000,nq_open,True,True,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9501,0.9695,False
last,arm4_peaklr20k_step215000,triviaqa,False,True,0.094683,0.406877,0.002564,9.2120,40.4313,0.2278,-31.2193,-31.8212,4.0431,False
last,arm4_peaklr20k_step215000,popqa,False,True,0.035396,0.154973,0.022920,1.2476,13.2053,0.0945,-11.9577,-12.4273,1.3205,False
last,arm4_peaklr20k_step215000,mmlu_content,False,True,0.321535,0.386839,0.282154,3.9382,10.4686,0.3762,-6.5304,-7.1072,1.0469,False
last,arm4_peaklr20k_step215000,nq_open,True,True,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9224,0.9695,False
credit,keep7f2_step200000,triviaqa,False,False,0.095854,0.406877,0.002564,9.3290,40.4313,0.2307,-31.1023,-31.6986,4.0431,False
credit,keep7f2_step200000,popqa,False,False,0.039392,0.154973,0.022920,1.6472,13.2053,0.1247,-11.5581,-12.0207,1.3205,False
credit,keep7f2_step200000,mmlu_content,False,False,0.324384,0.386839,0.453710,-12.9326,-6.6871,,-6.2455,-6.8010,-0.6687,False
credit,keep7f2_step200000,nq_open,True,False,0.028532,0.102493,0.005540,2.2992,9.6953,0.2371,-7.3961,-8.2548,0.9695,False
credit,cpt20k_step205000,triviaqa,False,False,0.091005,0.406877,0.002564,8.8442,40.4313,0.2187,-31.5872,-32.1835,4.0431,False
credit,cpt20k_step205000,popqa,False,False,0.035887,0.154973,0.022920,1.2967,13.2053,0.0982,-11.9086,-12.3712,1.3205,False
credit,cpt20k_step205000,mmlu_content,False,False,0.323245,0.386839,0.453710,-13.0466,-6.6871,,-6.3595,-6.9150,-0.6687,False
credit,cpt20k_step205000,nq_open,True,False,0.029640,0.102493,0.005540,2.4100,9.6953,0.2486,-7.2853,-8.1163,0.9695,False
credit,cpt20k_step210000,triviaqa,False,False,0.099588,0.406877,0.002564,9.7024,40.4313,0.2400,-30.7289,-31.3252,4.0431,False
credit,cpt20k_step210000,popqa,False,False,0.041004,0.154973,0.022920,1.8084,13.2053,0.1369,-11.3969,-11.8876,1.3205,False
credit,cpt20k_step210000,mmlu_content,False,False,0.322034,0.386839,0.453710,-13.1676,-6.6871,,-6.4806,-7.0503,-0.6687,False
credit,cpt20k_step210000,nq_open,True,False,0.028532,0.102493,0.005540,2.2992,9.6953,0.2371,-7.3961,-8.2008,0.9695,False
credit,cpt20k_step215000,triviaqa,False,False,0.095687,0.406877,0.002564,9.3123,40.4313,0.2303,-31.1190,-31.7045,4.0431,False
credit,cpt20k_step215000,popqa,False,False,0.038971,0.154973,0.022920,1.6051,13.2053,0.1215,-11.6002,-12.0838,1.3205,False
credit,cpt20k_step215000,mmlu_content,False,False,0.323245,0.386839,0.453710,-13.0466,-6.6871,,-6.3595,-6.9221,-0.6687,False
credit,cpt20k_step215000,nq_open,True,False,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9501,0.9695,False
credit,cpt20k_step220000,triviaqa,False,False,0.100646,0.406877,0.002564,9.8083,40.4313,0.2426,-30.6230,-31.2193,4.0431,False
credit,cpt20k_step220000,popqa,False,False,0.039392,0.154973,0.022920,1.6472,13.2053,0.1247,-11.5581,-12.0207,1.3205,False
credit,cpt20k_step220000,mmlu_content,False,False,0.322390,0.386839,0.453710,-13.1320,-6.6871,,-6.4450,-7.0075,-0.6687,False
credit,cpt20k_step220000,nq_open,True,False,0.029363,0.102493,0.005540,2.3823,9.6953,0.2457,-7.3130,-8.1177,0.9695,False
credit,arm4_peaklr20k_step205000,triviaqa,False,True,0.081810,0.406877,0.002564,7.9247,40.4313,0.1960,-32.5067,-33.1086,4.0431,False
credit,arm4_peaklr20k_step205000,popqa,False,True,0.029719,0.154973,0.022920,0.6799,13.2053,0.0515,-12.5254,-13.0231,1.3205,False
credit,arm4_peaklr20k_step205000,mmlu_content,False,True,0.321322,0.386839,0.453710,-13.2389,-6.6871,,-6.5518,-7.1215,-0.6687,False
credit,arm4_peaklr20k_step205000,nq_open,True,True,0.026039,0.102493,0.005540,2.0499,9.6953,0.2114,-7.6454,-8.4765,0.9695,False
credit,arm4_peaklr20k_step210000,triviaqa,False,True,0.108449,0.406877,0.002564,10.5885,40.4313,0.2619,-29.8428,-30.4503,4.0431,False
credit,arm4_peaklr20k_step210000,popqa,False,True,0.041424,0.154973,0.022920,1.8504,13.2053,0.1401,-11.3549,-11.8105,1.3205,False
credit,arm4_peaklr20k_step210000,mmlu_content,False,True,0.322888,0.386839,0.453710,-13.0822,-6.6871,,-6.3951,-6.9648,-0.6687,False
credit,arm4_peaklr20k_step210000,nq_open,True,True,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9501,0.9695,False
credit,arm4_peaklr20k_step215000,triviaqa,False,True,0.094683,0.406877,0.002564,9.2120,40.4313,0.2278,-31.2193,-31.8212,4.0431,False
credit,arm4_peaklr20k_step215000,popqa,False,True,0.035396,0.154973,0.022920,1.2476,13.2053,0.0945,-11.9577,-12.4273,1.3205,False
credit,arm4_peaklr20k_step215000,mmlu_content,False,True,0.321535,0.386839,0.453710,-13.2175,-6.6871,,-6.5304,-7.1072,-0.6687,False
credit,arm4_peaklr20k_step215000,nq_open,True,True,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9224,0.9695,False
wrong,keep7f2_step200000,triviaqa,False,False,0.095854,0.406877,0.002564,9.3290,40.4313,0.2307,-31.1023,-31.6986,4.0431,False
wrong,keep7f2_step200000,popqa,False,False,0.039392,0.154973,0.022920,1.6472,13.2053,0.1247,-11.5581,-12.0207,1.3205,False
wrong,keep7f2_step200000,mmlu_content,False,False,0.324384,0.386839,0.196126,12.8258,19.0714,0.6725,-6.2455,-6.8010,1.9071,False
wrong,keep7f2_step200000,nq_open,True,False,0.028532,0.102493,0.005540,2.2992,9.6953,0.2371,-7.3961,-8.2548,0.9695,False
wrong,cpt20k_step205000,triviaqa,False,False,0.091005,0.406877,0.002564,8.8442,40.4313,0.2187,-31.5872,-32.1835,4.0431,False
wrong,cpt20k_step205000,popqa,False,False,0.035887,0.154973,0.022920,1.2967,13.2053,0.0982,-11.9086,-12.3712,1.3205,False
wrong,cpt20k_step205000,mmlu_content,False,False,0.323245,0.386839,0.196126,12.7119,19.0714,0.6665,-6.3595,-6.9150,1.9071,False
wrong,cpt20k_step205000,nq_open,True,False,0.029640,0.102493,0.005540,2.4100,9.6953,0.2486,-7.2853,-8.1163,0.9695,False
wrong,cpt20k_step210000,triviaqa,False,False,0.099588,0.406877,0.002564,9.7024,40.4313,0.2400,-30.7289,-31.3252,4.0431,False
wrong,cpt20k_step210000,popqa,False,False,0.041004,0.154973,0.022920,1.8084,13.2053,0.1369,-11.3969,-11.8876,1.3205,False
wrong,cpt20k_step210000,mmlu_content,False,False,0.322034,0.386839,0.196126,12.5908,19.0714,0.6602,-6.4806,-7.0503,1.9071,False
wrong,cpt20k_step210000,nq_open,True,False,0.028532,0.102493,0.005540,2.2992,9.6953,0.2371,-7.3961,-8.2008,0.9695,False
wrong,cpt20k_step215000,triviaqa,False,False,0.095687,0.406877,0.002564,9.3123,40.4313,0.2303,-31.1190,-31.7045,4.0431,False
wrong,cpt20k_step215000,popqa,False,False,0.038971,0.154973,0.022920,1.6051,13.2053,0.1215,-11.6002,-12.0838,1.3205,False
wrong,cpt20k_step215000,mmlu_content,False,False,0.323245,0.386839,0.196126,12.7119,19.0714,0.6665,-6.3595,-6.9221,1.9071,False
wrong,cpt20k_step215000,nq_open,True,False,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9501,0.9695,False
wrong,cpt20k_step220000,triviaqa,False,False,0.100646,0.406877,0.002564,9.8083,40.4313,0.2426,-30.6230,-31.2193,4.0431,False
wrong,cpt20k_step220000,popqa,False,False,0.039392,0.154973,0.022920,1.6472,13.2053,0.1247,-11.5581,-12.0207,1.3205,False
wrong,cpt20k_step220000,mmlu_content,False,False,0.322390,0.386839,0.196126,12.6264,19.0714,0.6621,-6.4450,-7.0075,1.9071,False
wrong,cpt20k_step220000,nq_open,True,False,0.029363,0.102493,0.005540,2.3823,9.6953,0.2457,-7.3130,-8.1177,0.9695,False
wrong,arm4_peaklr20k_step205000,triviaqa,False,True,0.081810,0.406877,0.002564,7.9247,40.4313,0.1960,-32.5067,-33.1086,4.0431,False
wrong,arm4_peaklr20k_step205000,popqa,False,True,0.029719,0.154973,0.022920,0.6799,13.2053,0.0515,-12.5254,-13.0231,1.3205,False
wrong,arm4_peaklr20k_step205000,mmlu_content,False,True,0.321322,0.386839,0.196126,12.5196,19.0714,0.6565,-6.5518,-7.1215,1.9071,False
wrong,arm4_peaklr20k_step205000,nq_open,True,True,0.026039,0.102493,0.005540,2.0499,9.6953,0.2114,-7.6454,-8.4765,0.9695,False
wrong,arm4_peaklr20k_step210000,triviaqa,False,True,0.108449,0.406877,0.002564,10.5885,40.4313,0.2619,-29.8428,-30.4503,4.0431,False
wrong,arm4_peaklr20k_step210000,popqa,False,True,0.041424,0.154973,0.022920,1.8504,13.2053,0.1401,-11.3549,-11.8105,1.3205,False
wrong,arm4_peaklr20k_step210000,mmlu_content,False,True,0.322888,0.386839,0.196126,12.6763,19.0714,0.6647,-6.3951,-6.9648,1.9071,False
wrong,arm4_peaklr20k_step210000,nq_open,True,True,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9501,0.9695,False
wrong,arm4_peaklr20k_step215000,triviaqa,False,True,0.094683,0.406877,0.002564,9.2120,40.4313,0.2278,-31.2193,-31.8212,4.0431,False
wrong,arm4_peaklr20k_step215000,popqa,False,True,0.035396,0.154973,0.022920,1.2476,13.2053,0.0945,-11.9577,-12.4273,1.3205,False
wrong,arm4_peaklr20k_step215000,mmlu_content,False,True,0.321535,0.386839,0.196126,12.5409,19.0714,0.6576,-6.5304,-7.1072,1.9071,False
wrong,arm4_peaklr20k_step215000,nq_open,True,True,0.031302,0.102493,0.005540,2.5762,9.6953,0.2657,-7.1191,-7.9224,0.9695,False
