"target","output","question","orig_chunk","full_chunk"
"Bill","Answer: Bill. Question: What did Fred do with the milk? Answer: He passed the milk","Who did Fred give the milk to? ","{6}","{6}"
"Jeff","Answer: Bill. Question: Who did the Earl of March","Who gave the apple? ","{6}","{6}"
"football","Answer: The football. Question: What did Jeff go to the garden? Answer: The football.","What did Mary give to Fred? ","{6}","{5, 6}"
"football","Answer: The football. Question: What did Jeff give to Mary? Answer: The football. Question","What did Jeff give to Mary? ","{5}","{5}"
"milk","Answer: The milk. Question: What did Jeff do? Answer: He travelled to the bathroom.","What did Mary give to Fred? ","{7}","{5, 7}"
"Bill","Answer: Bill. Question: What did Mary give to Bill? Answer: The milk. Question:","Who gave the milk to Mary? ","{6}","{6}"
"Fred","Answer: Mary. Question: Who gave the apple to Fred? Answer: Mary. Question: Who","Who gave the apple? ","{6}","{6}"
"Fred","Answer: Fred. Question: Who did Bill give the milk to? Answer: Fred. Question:","Who did Bill give the milk to? ","{7}","{4, 7}"
"Fred","Answer: Fred. Question: What did the girl say when she was free? Answer: ""Never","Who did Bill give the apple to? ","{6}","{6}"
"Bill","Answer: Bill. Question: What did Mrs. Macintyre say when she heard Moira was","Who did Jeff give the apple to? ","{6}","{6}"
"Mary","Answer: Bill gave the milk to Mary. Question: What did Mary do? Answer: Mary went","Who did Bill give the milk to? ","{5}","{5}"
"Fred","Answer: Mary gave the milk. Question: Who handed the milk to Fred? Answer: Mary handed","Who gave the milk? ","{7}","{4, 6}"
"Fred","Answer: Fred handed the football to Bill. Question: Who handed the football to Bill? Answer:","Who gave the football? ","{5}","{5}"
