"target","output","question","orig_chunk","full_chunk"
"Fred","Answer: Fred. Fred handed the apple to Bill. Bill handed the apple to Fred. Fred handed","Who received the apple? ","{14}","{14}"
"Mary","Answer: Fred. Fred passed the football to Mary. Mary passed the football to Fred. Mary passed","Who received the football? ","{14}","{14}"
"apple","Answer: Mary handed the apple to Fred. Question: What did Fred do? Answer: Fred gave","What did Mary give to Fred? ","{13}","{13}"
"apple","Answer: Fred handed the apple to Bill. Question: What did Tabitha do? Answer:","What did Fred give to Bill? ","{7}","{7}"
"Mary","Answer: Fred. Question: Who gave the milk? Answer: Mary. Question: Who gave the","Who received the milk? ","{14}","{14}"
"Bill","Answer: Bill. Question: Who gave the football to Fred? Answer: Bill. Question: Who","Who gave the football to Fred? ","{14}","{8, 14}"
"Mary","Answer: Mary. Question: Who
gave the football to Fred? Answer: Mary. Question","Who gave the football to Fred? ","{15}","{15}"
"Fred","Answer: Fred gave the football to Jeff.

Question: Who gave the football to Jeff? Answer:","Who gave the football to Jeff? ","{10}","{6}"
"Bill","Answer: Jeff

Question: What did the Supervisor say about the bed? Answer: It's too","Who received the milk? ","{14}","{14}"
"milk","Answer: Fred received milk from Mary.

Question: What did Fred give to Fred? Answer: Fred","What did Mary give to Fred? ","{8}","{6}"
"Jeff","Answer: Jeff.

Question: Who gave the apple to Bill? Answer: Jeff.

Question: Who","Who gave the apple to Bill? ","{10}","{10}"
"Bill","Answer: Bill.

Question: Who gave the apple to Fred? Answer: Mary.

Question: Who","Who did Fred give the apple to? ","{12}","{10, 12}"
"Bill","Answer: Bill.

Question: Who was the first person to meet at a ball? Answer: Grand","Who gave the milk to Fred? ","{14}","{10}"
"Fred","Answer: Fred.

Question: Who put down the apple? Answer: Jeff.

Question: Who put","Who gave the milk? ","{13}","{13}"
"Jeff","Answer:","Who received the milk? ","{11}","{8}"
"Bill","Answer: Bill. Bill handed the apple to Mary. ""Well, never mind,"" thought he:","Who gave the apple? ","{13}","{11, 12, 13}"
"Fred","Answer: Mary. Fred handed the football to Mary. Fred journeyed to the bedroom. Fred journey","Who received the football? ","{13}","{13}"
"Mary","Answer: Mary. Mary put down the apple. ""Well, I told Margaret Louise all these things","Who did Jeff give the apple to? ","{7}","{7}"
"Mary","""I","Who received the milk? ","{12}","{8}"
"Mary","Mary gave the milk to Fred. Fred dropped the milk. Mary passed the milk to Fred. Mary","Who gave the milk? ","{13}","{10, 11, 13}"
"Mary","Mary. Fred gave the football to Mary. Fred handed the football to Mary. Fred handed the football","Who received the football? ","{7}","{7}"
"milk","Mary handed the milk to Fred. Fred gave the milk to Bill. Fred gave the milk to Bill","What did Fred give to Bill? ","{13}","{13}"
"Jeff","Mary handed the apple there. Mary handed the apple there. Mary handed the apple there. Mary handed","Who gave the apple? ","{11}","{11}"
"Bill","Jeff handed the football to Jeff. Jeff handed the football to Jeff. Jeff handed the football to Jeff","Who gave the football to Jeff? ","{14}","{8}"
"milk","Answer: Bill handed the milk to Mary. Bill handed the milk to Mary. Bill handed the milk","What did Mary give to Bill? ","{13}","{13}"
"Mary","Answer: Mary gave the milk to Jeff. Fred went back to the bathroom. Smaller vessels,","Who gave the milk to Jeff? ","{13}","{8, 13}"
"Bill","Answer: Jeff. Jeff went to the garden. Jeff went to the garden. Jeff went to the","Who received the milk? ","{14}","{14}"
